Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,audio_caption,visual_caption
849,I dont even know the man. Okay? Were not that close. I havent seen him in years.,Chandler,disgust,negative,82,3,7,22,"00:03:20,200","00:03:24,203",Neutral,"The image shows a man and woman sitting on a couch in a living room. The man is wearing an orange t-shirt and cream-colored pants, while the woman is wearing a white dress. In the background, there is a chair, a table, a curtain, and other objects."
850,Well what are you gonna do when he finds out he wasnt even asked?!,Monica,sadness,negative,82,4,7,22,"00:03:24,370","00:03:26,914",Angry,"The image shows a woman sitting on top of a couch next to a man. She is holding a book in her hand and there are cushions on the couch. In the background there are chairs, a table, a frame on the wall, and other objects."
852,Its not like we run in the same circles.,Chandler,neutral,neutral,82,5,7,22,"00:03:27,081","00:03:29,374",Neutral,"The image shows a man and woman sitting on a couch in a living room. The man is wearing an orange t-shirt and cream-colored pants, while the woman is wearing a white dress. In the background, there is a chair, a table, a flower vase, and other objects."
853,"I hang out with you guys, and he stars in a drag show in Vegas.",Chandler,disgust,negative,82,6,7,22,"00:03:29,542","00:03:35,547",The speaker sounds like a male in his twenties speaking English.,"The image shows a man and woman sitting on a couch in a living room. The man is wearing an orange t-shirt and cream-colored pants, while the woman is wearing a black dress. In the background, there is a plant, a few frames, and other objects on the table."
854,"Ooh, I think I wanna trade circles.",Phoebe,neutral,neutral,82,7,7,22,"00:03:35,965","00:03:38,342","The speaker is female with an English accent, and she sounds neutral.","The image shows a woman sitting at a table in front of a TV, with a flower vase and a wall in the background. She has a human face and is wearing a dress."
857,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.,Chandler,disgust,negative,82,9,7,22,"00:03:39,260","00:03:45,724",The speaker sounds angry.,"The image shows a man and woman sitting on a couch in a living room. The man is wearing an orange t-shirt and cream-colored pants, while the woman is wearing a black dress. In the background, there is a plant, a few frames, and other objects on a table."
858,So what! As long as hes not wearing a white dress and a veil I dont care.,Monica,neutral,neutral,82,10,7,22,"00:03:47,227","00:03:50,646",Angry,"The image shows a woman sitting on top of a couch next to a man, both of them looking at each other with a human face. In the background there are chairs, a table, and a frame attached to the wall."
859,"Okay, I think I need to do some shopping.",Phoebe,neutral,neutral,82,11,7,22,"00:03:50,813","00:03:53,273",Neutral,"The image shows a woman in a black dress sitting on a chair with a smile on her face, holding something in her hand. In the background, there is a wall, a door, and a flower vase."
860,Hello! Whos in there?,Charlton Heston,neutral,neutral,83,0,4,14,"00:15:41,941","00:15:44,984",The speaker sounds happy.,"The image shows a man in a white shirt and brown pants standing in front of a shower curtain, holding a gun in his hand. On the right side of the image there is a sofa with a pillow on it, and on the left side there is an object attached to the wall."
861,How ya doin?,Joey,neutral,neutral,83,1,4,14,"00:15:50,199","00:15:51,616","The speaker sounds male, aged between 16-25 years old, speaking in English with","The image shows a shirtless man standing next to another man in a bathroom, with a wall in the background and various objects on the left side."
862,Who in the hell are you?,Charlton Heston,anger,negative,83,2,4,14,"00:15:52,576","00:15:54,577",The speaker sounds like a male in a neutral mood speaking English.,The image shows a man in a white shirt and tie talking to another man in front of a wall with a cloth hanging on it.
863,"I guess you wouldnt believe me if I said I was Kurt Douglas, huh?",Joey,neutral,neutral,83,3,4,14,"00:15:54,745","00:15:58,247",The speaker sounds like Kirk Douglas.,"The image shows a shirtless man standing next to another man in a bathroom, with a wall in the background and various objects on the left side."
864,"No-no, Rachel, dont get it! He cant see us!",Monica,fear,negative,84,0,4,20,"00:20:58,674","00:21:01,050",The speaker sounds angry.,"The image shows a woman in a white wedding dress sitting on a couch surrounded by pillows, a flower vase, bottles, and other objects on the table. In the background, there are frames attached to the wall, a lamp, a statue, and a few other objects."
865,"No, yeah! The groom cannot see the bride!",Phoebe,anger,negative,84,1,4,20,"00:21:01,218","00:21:03,761",Angry,"The image shows three women in wedding dresses standing in a living room. The room is filled with furniture such as sofas, pillows, a table with a flower vase, books, and other objects, a lamp, a statue, a cupboard, a photo frame on the wall, and lights."
866,Im not gonna marry Chandler!,Rachel,anger,negative,84,2,4,20,"00:21:03,929","00:21:05,888",Angry,"The image shows a woman in a wedding dress standing in front of a mirror, with a flower vase and other objects on a table in the background, and a door on the left side."
867,Not after this!,Phoebe,anger,negative,84,3,4,20,"00:21:06,056","00:21:08,224",Angry,The image shows two women in wedding dresses standing next to each other in front of a wall with a door and a board with something written on it. There is also a plant in the background.
868,"Okay, you guys, just relax.  I doooo.",Rachel,neutral,neutral,84,4,4,20,"00:21:09,685","00:21:25,616","A male speaker, speaking English, with a neutral mood.","The image shows a woman in a white wedding dress standing in front of a mirror on the wall, with a flower vase and other objects on the table behind her, and a chair to her right."
869,I gotta go.,Joshua,neutral,neutral,84,5,4,20,"00:21:22,823","00:21:25,616","The speaker sounds English, male and the speech conveys a neutral mood.","The image shows a man and woman standing in front of a door, with the woman wearing a cream-colored dress and the man wearing a brown shirt and cream-coloured jacket. The background of the image is a green wall."
870,"Oh, wait, Joshua! Joshua!   Yeah, well, that oughta do it.",Rachel,sadness,negative,84,6,4,20,"00:21:22,823","00:21:33,165",The speaker sounds like a man.,"The image shows a man and woman standing in front of a door, with the woman wearing a cream-colored dress and the man wearing a brown shirt and cream-coloured jacket. The background of the image is a green wall."
871,"Sorry I'm late, but I left late.",Rachel,neutral,neutral,85,0,5,9,"00:06:08,785","00:06:10,660",The speaker sounds sincere.,"The image shows a group of people sitting around a table in a room. On the table there are books, papers, and other objects. In the background, there are lockers and posters on the wall."
872,Okay.,Phoebe,neutral,neutral,85,1,5,9,"00:06:11,245","00:06:13,038",Neutral,"The image shows a woman sitting at a desk in front of a group of people, holding a pen in her hand. On the desk there are various objects, and in the background there is a wall with a map on it."
873,"So Pheebs, what is the book about?",Rachel,neutral,neutral,85,2,5,9,"00:06:13,748","00:06:16,291",The speaker sounds like a female in her twenties speaking English.,"The image shows two women standing next to each other in front of a wall adorned with posters. One of the women has human hair, while the other has a human face."
874,I thought you said you read it in high school.,Phoebe,neutral,neutral,85,3,5,9,"00:06:16,542","00:06:18,293",The speaker sounds surprised.,"The image shows two women sitting at a table talking to each other, surrounded by a group of people. On the table there are books, papers, and other objects, and in the background there is a wall with a map."
875,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anywayumm, what is this book about?",Rachel,neutral,neutral,85,4,5,9,"00:06:18,503","00:06:25,550",The speaker sounds happy.,"The image shows two women sitting at a table talking to each other, with a man standing to the left of them. In the background, there are posters attached to the wall. Both women have human hair."
876,"Excuse me, can I, can I bum one of those?",Rachel,neutral,neutral,86,0,5,18,"00:08:59,580","00:09:01,665","The speaker sounds female, between 26-40 years old, speaking English with a neutral","The image shows a woman with blue hair standing in front of a door, with a wall in the background."
877,"Y'know what, actually  Okay, okay, okay, what's so funny over here?",Rachel,neutral,neutral,86,1,5,18,"00:09:05,920","00:09:08,630",The speaker sounds happy.,"The image shows two women standing next to each other in front of a wall, both of them smiling."
878,I thought you didn't smoke.,Nancy,surprise,positive,86,2,5,18,"00:09:08,798","00:09:10,840",Neutral,"The image shows a group of women standing next to each other in an elevator, with a wall in the background. One of the women is holding a cigarette in her hand."
879,"Oh, I thought you guys meant marijuana cigarettes, y'know?",Rachel,neutral,neutral,86,3,5,18,"00:09:11,008","00:09:15,845",The speaker sounds surprised.,"The image shows a group of four people standing next to each other in front of a wall. Two of the people are women, while the other two are men. All of them have human hair."
880,"Y'know what I mean, like dubbies?",Rachel,neutral,neutral,86,4,5,18,"00:09:17,265","00:09:18,932",The speaker sounds like a female in her twenties speaking English.,"The image shows a group of women standing next to each other in front of a wall, with one of them holding a cigarette in her hand."
881,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",Rachel,surprise,positive,86,5,5,18,"00:09:21,060","00:09:24,229",Angry,"The image shows a group of women standing around each other in a room, with a wall in the background. One of the women is holding a cigarette in her hand."
882,"But no, I actually smoke the regular ones all, all the time.",Rachel,neutral,neutral,86,6,5,18,"00:09:24,397","00:09:26,898",Neutral,"The image shows a group of women standing next to each other in front of a wall, each holding a cigarette in their hands."
883,We get high.,Kim,neutral,neutral,86,7,5,18,"00:09:27,900","00:09:28,942",The speaker sounds happy.,"The image shows three women standing next to each other in an elevator, with a wall in the background. One of the women has a human face, while the other two have human hair."
884,"Oh, me too.",Rachel,neutral,neutral,86,8,5,18,"00:09:31,612","00:09:33,321","The speaker sounds female, happy, and in the neutral mood.","The image shows a group of women standing next to each other in a room, with a wall in the background. One of the women has a human face, and they are all holding cigarettes in their hands."
885,I'm kidding.,Kim,neutral,neutral,86,9,5,18,"00:09:34,699","00:09:36,658",The speaker sounds surprised.,"The image shows a group of people standing next to each other in a room, with a wall in the background. In the center of the group is a woman with a human face."
886,"Oh, me too.",Rachel,joy,positive,86,10,5,18,"00:09:36,993","00:09:38,702",The speaker sounds happy.,"The image shows a group of women standing next to each other in a room, with a wall in the background. One of the women is holding a cigarette in her hand."
887,"Oh, are you sure you're ok?",Rachel,sadness,negative,87,0,1,5,"0:21:55,897","0:21:57,441",The speaker sounds fearful.,"The image shows a man and two women sitting on a couch, with the man wearing an orange cap on his head. In the background, there is a person standing, a pillar, and various objects on the table. The image also has a watermark that reads ""Wendy Knoller and Andy Zall""."
888,Yeah.,Ross,neutral,neutral,87,1,1,5,"0:21:57,441","0:21:58,247","The speaker sounds male, happy and his speech is in English.","The image shows a man and two women sitting on a couch, with the man wearing an orange cap on his head. In the background, there are various objects and a watermark on the image."
889,Does it still hurt?,Rachel,sadness,negative,87,2,1,5,"0:21:58,483","0:22:00,075","The speaker sounds female, around 25 years old, speaking English with a neutral mood.","The image shows a man and two women sitting on a couch, with the man wearing an orange cap on his head. In the background, there are various objects and a watermark on the image."
890,Yeah.,Ross,sadness,negative,87,3,1,5,"0:22:00,075","0:22:00,532","The speaker sounds male, around 30 years old, speaking English with a neutral mood.",Nan
891,What a neat idea. All your clothes match. I'm gonna do this.,Phoebe,joy,positive,87,4,1,5,"00:22:03,113","00:22:06,949",The speaker sounds happy.,"The image shows a woman sitting on a couch with a smile on her face, holding a cloth in her hands. Behind her, there is a man sitting on the sofa, and in front of him is a table with various objects on it. On the left side of the image, there are two chairs, and on the right side, there appears to be another chair. In the middle of the picture, the words ""story editors Jeff Astrof & Mike Sikowitz"" are written."
892,Hi.,Monica,neutral,neutral,87,5,1,5,"00:22:08,744","00:22:09,744",The speaker sounds happy.,"The image shows a group of people sitting on a couch in a living room. There is a table in the center of the room with various objects on it, including books, papers, cups, and other items. To the right of the couch is a chair with a pillow, and in the background there are stools, a lamp, frames on the wall, curtains, and a door. At the bottom of the image is text that reads ""Kim Gillingham as Angela""."
893,"Hey, how'd it go?",Phoebe,neutral,neutral,87,6,1,5,"00:22:09,953","00:22:10,995",The speaker sounds happy.,"The image shows a group of people sitting on a couch in a living room. There is a table in the center of the room with various objects on it, including a basket, books, papers, a cup, and other items. To the left of the couch, there is a person standing, and in the background there are stools, a lamp, frames on the wall, curtains, and a chandelier."
894,Excellent.,Joey,joy,positive,87,7,1,5,"00:22:11,204","00:22:12,246",The speaker sounds happy.,"The image shows a group of people sitting around a couch in a living room. There is a table in the center of the room with books, papers, cups, and other objects on it. To the left of the couch, there are chairs and a table with various objects on top. In the background, there is a wall with photo frames and lights hanging from the ceiling."
895,"We ripped that couple apart, and kept the pieces for ourselves.",Monica,joy,positive,87,8,1,5,"00:22:12,497","00:22:16,751",The speaker sounds happy.,"The image shows a woman in a purple jacket standing in front of a bar, with a man sitting on a chair to her right. In the background, there are bottles and other objects in the racks, and a wall behind them. At the bottom of the image, there is text that reads ""Jack Armstrong as Bob""."
896,"What a beautiful story. Hey, I'm fine by the way.",Ross,joy,positive,87,9,1,5,"00:22:18,003","00:22:23,090",The speaker sounds happy.,"The image shows a group of people sitting on a couch in a living room. There is a table in front of them with various objects on it, and in the background there are flower vases, windows, and other objects. At the bottom of the image, there is text that reads ""Maggie Wheeler as Janice""."
897,You know what? You are right. I,Phoebe,neutral,neutral,88,0,9,21,"00:20:49,673","00:20:52,625",Angry,The image shows a woman in a white shirt standing in front of a wall with a photo frame attached to it. She has a human face and is looking directly at the camera.
898,Good for you Pheebs!,Rachel,joy,positive,88,1,9,21,"00:20:52,793","00:20:55,878",Angry,"The image shows a woman in a white shirt standing in front of a door, with a photo frame on the wall to her right. She has a human face and is looking directly at the camera."
899,Ok.,Phoebe,neutral,neutral,88,2,9,21,"00:20:56,046","00:20:57,380",The speaker is female with an angry mood.,"The image shows a woman laying on top of a bed next to a man in a white robe. There is a pillow on the bed and a cupboard with various objects on it. On the wall behind them, there are photo frames and a light."
900,"Okay  If you guys have microphones in there too, I didn't mean",Phoebe,neutral,neutral,88,3,9,21,"00:20:59,800","00:21:04,637","The speaker sounds like a female speaking English, with a neutral mood.","The image shows a woman standing in front of a door with her hands up, wearing a white dress. On the left side of the image there is a plant in a pot, and in the background there are frames attached to the wall and a curtain."
901,This sucks! I didnt know I had to stay up all night before I went to this stupid sleep clinic! Im so tired!,Joey,anger,negative,89,0,4,20,"00:09:22,478","00:09:29,651",The speaker sounds tired.,"The image shows a man standing in a living room next to a foosball table. He is holding an object in his hand and there is another person sitting on a sofa in the background. The room is filled with furniture such as sofas, a table with various objects on it, a carpet on the floor, cupboards, a microwave oven, a kettle, a sink, a tap, a dishwasher, and other objects on the countertop. There are also frames attached to the wall and curtains on the windows."
902,Its 6:00.,Chandler,neutral,neutral,89,1,4,20,"00:09:31,195","00:09:33,151","The speaker is male, speaking English with a neutral mood.","The image shows a man in a suit and tie standing in a kitchen. He is holding an object in his hand and there is a microwave oven on the left side of the image. In the background, there are cupboards, a refrigerator, a photo frame on the wall, and various other objects."
904,Hi!,Rachel,joy,positive,89,2,4,20,"00:09:34,448","00:09:35,824",The speaker sounds happy.,"The image shows a woman standing in a kitchen next to a foosball table. On the left side of the image, there is a person standing, and on the right side there is another person standing. In the background, there are cupboards, a refrigerator, a stove, a kettle, bottles, and other objects on the countertop, as well as frames attached to the wall."
906,"Yeah, Rach, I think youre handling that really well.",Joey,neutral,neutral,89,4,4,20,"00:09:41,163","00:09:43,498","The speaker sounds male, around 30 years old, speaking English with a neutral mood.","The image shows a man sitting in a chair in a living room. On the left side of the image there is a table with books and papers on it, and on the right side there is another table with a toy and other objects. In the background there are bookshelves and a door."
907,Handling it?,Rachel,neutral,neutral,89,5,4,20,"00:09:44,458","00:09:45,917","The speaker sounds female, around 25 years old, speaking English with a neutral mood.","The image shows a man and woman standing in a kitchen next to each other. The kitchen is equipped with a gas stove, dishwasher, refrigerator, cupboards, microwave oven, sink, tap, utensils, crockery, and a foosball table. The woman is holding a bottle in her hand."
908,"What do you mean, handling it?",Rachel,joy,positive,89,6,4,20,"0:09:46,085","0:09:47,097",The speaker sounds like a female in her twenties.,"The image shows a man and woman standing in a kitchen next to each other. The man is wearing a black blazer, white shirt, and black pants, while the woman is holding a bottle in her hand. The kitchen is filled with various appliances, including a gas stove, dishwasher, refrigerator, microwave oven, and cupboards."
909,Theres nothing to handle.,Rachel,joy,positive,89,7,4,20,"0:09:47,097","0:09:48,219",Angry,"The image shows a man and woman standing in a kitchen next to each other. The man is wearing a black blazer, white shirt, and black pants, while the woman is holding a bottle in her hand. On the countertop in front of them are various objects, including a microwave oven, a sink, a tap, and other kitchen appliances. In the background, there are cupboards, a refrigerator, and a frame attached to the wall."
910,"Now, maybe I would have a problem with this if it wasnt for me and Joshua.",Rachel,neutral,neutral,89,8,4,20,"00:09:48,337","00:09:52,757",The speaker sounds neutral.,"The image shows a man and woman standing in a kitchen next to each other. The woman is holding a bottle in her hand, while the man stands beside her. On the left side of the image, there is a kettle on the stove, a microwave oven, and various objects placed on the countertop. Above them, there are cupboards and a frame attached to the wall."
911,"Yknow, theyre not gonna get married anyway!",Rachel,anger,negative,89,9,4,20,"0:09:52,925","0:09:55,136",Neutral,"The image shows a man and woman standing in a kitchen next to each other. The man is wearing a black blazer, white shirt, and black pants, while the woman is sitting on a chair. On the countertop in front of them are a few bottles, a plate, and other objects. In the background, there is a white microwave oven, a blue cupboard, a refrigerator, a clock, and a frame attached to the wall."
912,What?,Chandler,surprise,negative,89,10,4,20,"0:09:55,136","0:09:56,593",The speaker sounds surprised.,"The image shows a man and woman standing in a kitchen next to each other. The woman is sitting on a chair and holding a bottle in her hand, while the man stands beside her. On the table in front of them are bottles, a plate, a telephone, and other objects. In the background, there is a microwave oven, a refrigerator, a cupboard, a clock, and a frame attached to the wall."
913,Come on!,Rachel,anger,negative,89,11,4,20,"0:09:56,679","0:09:57,472",The speaker sounds angry.,"The image shows a woman sitting at a table with a bottle of beer in her hand, while a man stands beside her. On the table in front of them are several bottles, and in the background there is a poster attached to the wall."
914,They rushed into this thing so fast its ridiculous!,Rachel,disgust,negative,89,12,4,20,"0:09:57,472","0:10:00,734",Angry,"The image shows a woman sitting at a table with a bottle of beer in her hand, while a man stands beside her. On the table in front of them are various objects, and in the background there is a poster attached to the wall."
917,"And somewhere along the way, one of them is gonna realise what theyve done and theyre call the whole thing off.",Rachel,neutral,neutral,89,15,4,20,"00:10:03,811","00:10:08,148",Angry,"The image shows a man and woman sitting at a desk in front of a computer. The woman is holding a bottle in her hand and there are several other bottles on the desk. In the background, there is a wall with a poster attached to it."
918,"Im telling ya, youre gonna be dancing at my wedding before youre dancing at theres.",Rachel,joy,positive,89,16,4,20,"00:10:08,316","00:10:11,776",The speaker sounds angry.,"The image shows a man and woman sitting at a kitchen counter. The man is wearing a black blazer, white shirt, and black tie, while the woman is holding a bottle in her hand. On the counter in front of them is a plate, a bottle, a telephone, and other objects. In the background, there is a microwave oven, a kettle, a stove, a refrigerator, a cupboard, a clock, and a frame attached to the wall."
919,What the hell is this?!,Phoebe,surprise,negative,90,0,4,22,"00:06:52,954","00:06:54,538",Angry,"The image shows a woman sitting on top of a couch next to a pillow, with a cupboard in the background containing various objects."
920,"What, did you actually thought it would make me feel better to give me stuff that I cant use for another two months?!",Phoebe,anger,negative,91,0,4,20,"00:06:56,249","00:07:02,087",The speaker sounds disgusted.,"The image shows two women walking through a room filled with dresses on hangers, a mirror, a sofa, a chair, a table with a lamp on it, curtains, a frame on the wall, and lights on the ceiling."
921,This sucks!,Phoebe,anger,negative,92,0,4,22,"00:07:02,255","00:07:03,880","The speaker sounds female, disgusted, and speaking English.","The image shows a woman sitting on top of a couch next to a cat, surrounded by pillows. In the background, there is a platform with various objects on it, and to the right of the image is a refrigerator."
922,"All right, whats my next present?",Phoebe,neutral,neutral,92,1,4,22,"00:07:06,592","00:07:08,135",The speaker sounds happy.,"The image shows a woman in a black dress sitting on a couch surrounded by pillows. In the background, there is a kitchen platform with various objects on it."
924,"All right, theres a nuclear holocaust, Im the last man on Earth. Would you go out with me?",Chandler,neutral,neutral,93,0,4,1,"00:08:58,078","00:09:05,126","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a man and woman laying on top of a beach next to the ocean, surrounded by a group of people, tents, and other objects. The sky is visible in the background, and the water is lapping against the shore."
925,Enhh,Monica,neutral,neutral,93,1,4,1,"00:09:07,547","00:09:09,089","The speaker sounds female, between 16-25 years old, speaking in English with a","The image shows a man and woman laying on top of a blanket on the beach. The woman is wearing a bikini and the man is holding a tin in his hand. There is a bag and a pair of footwear beside them, and the sand is visible in the background."
926,Ive got canned goods.,Chandler,neutral,neutral,93,2,4,1,"00:09:11,634","00:09:12,759","The speaker sounds male, around 30 years old, speaking English with a neutral mood.","The image shows a man and woman laying on top of a beach next to each other, with the sand beneath their feet and the water in the background."
927,"Hey, you guys! Take a look at this!  Check this baby out, dug me a hole!",Joey,surprise,positive,93,3,4,1,"00:09:15,137","00:09:20,517",The speaker sounds happy.,"The image shows a man and woman sitting on top of a blanket on the beach, surrounded by clothes, bottles, tins, and other objects. In the background, there is a large body of water."
928,"Excellent hole, Joe.",Chandler,neutral,neutral,93,4,4,1,"00:09:22,728","00:09:24,813",The speaker sounds like a male in his fifties speaking English.,"The image shows a man and woman standing next to each other on a beach, both wearing bikinis. The man is wearing a shirt and the woman is holding something in her hand. In the background, there is a wall."
929,Oh no! No!! My hole!!,Joey,surprise,negative,93,5,4,1,"00:09:26,440","00:09:28,525","The speaker sounds like a female aged 26-40, speaking Mandarin with a neutral mood","The image shows a man standing in the sand near a body of water. He is wearing a white shirt and blue jeans, and his hair is blowing in the wind. The sun is shining brightly, and the sand is a light tan color. The water is a deep blue, and there are small waves lapping against the shore."
930,Ow!! Ow!!!,Monica,disgust,negative,93,6,4,1,"00:09:28,693","00:09:30,819","It sounds like a young adult female speaking English, with a fearful mood.","The image shows a group of people standing on top of a beach next to the ocean, with sand at the bottom and a sky in the background."
931,What?! What?!! What is it?!,Joey,surprise,negative,93,7,4,1,"00:09:30,987","00:09:32,404",The speaker sounds surprised.,"The image shows two men standing next to each other on a beach, with one of them digging a hole in the sand."
932,My drinking?,Rachel,neutral,neutral,94,0,4,9,"00:11:38,948","00:11:40,198","The speaker sounds male, between 16-25 years old, speaking English with a neutral","The image shows two women, one with blue hair and the other with grey hair, standing in front of a wall with a frame attached to it. On the right side of the image there is a table with various objects on it, and in the background there are posters attached to the wall."
933,"Oh, I mustve said that after you left.",Joanna,neutral,neutral,94,1,4,9,"00:11:41,617","00:11:44,244",The speaker sounds neutral.,"The image shows two women standing next to each other in front of a window, with a plant, curtains, and a wall in the background. One of the women has human hair."
934,Said what? Exactly.,Rachel,fear,negative,94,2,4,9,"00:11:45,579","00:11:46,955",Angry,"The image shows two women standing next to each other in a room. The woman on the right is wearing a brown blazer and white shirt, while the woman in the middle has blue hair. In the background, there is a wall with posters attached to it, and to the right side of the image there are a few objects on a rack."
935,That you enjoyed the occasional drinking binge.,Joanna,neutral,neutral,94,3,4,9,"00:11:47,123","00:11:48,915","The speaker sounds male, around 40 years old, speaking English with a neutral mood.","The image shows two women standing next to each other in front of a window, with a plant, curtains, and a wall in the background. One of the women has human hair."
936,"Oh my God!! Ohh, that is it! Im leaving! You are just a horrible person!",Rachel,disgust,negative,94,4,4,9,"00:11:52,211","00:11:58,299",The speaker sounds angry.,"The image shows two women standing next to each other in a room. The woman on the right is wearing a brown blazer and white shirt, while the woman in the middle has blue hair. In the background, there is a wall with a board attached to it, and to the right side of the image there are a few objects on the table."
937,Wait-wait-wait-wait-wait-wait-wait-wait!!,Joanna,fear,negative,94,5,4,9,"00:11:54,964","00:11:58,299",The speaker sounds angry.,"The image shows two women standing in front of a desk in an office. On the desk there is a telephone, papers, and other objects. To the right of the desk is a cupboard filled with books and other items. In the background, there are mannequins wearing dresses, a window with curtains, and a building visible through the window."
938,If youre gonna get all sensitive about it!,Joanna,anger,negative,94,6,4,9,"00:11:58,467","00:12:01,386",Angry,"The image shows two women standing next to each other in an office. On the table in front of them are various objects, including a telephone, papers, and other items. To the right of the table is a cupboard filled with books, photo frames, and toys. In the background, there are mannequins, curtains, and a window, through which a building can be seen."
939,I dont want to lose you.,Joanna,sadness,negative,94,7,4,9,"00:12:01,554","00:12:02,929",The speaker sounds sad.,"The image shows two women standing next to each other in a room. The woman on the left is wearing a black dress and is holding a black bag in her hand. On the right side of the image, there is a wall with a board attached to it. In the background, there are bookshelves filled with books and other objects."
940,"What if I, create a position for you?",Joanna,neutral,neutral,94,8,4,9,"00:12:03,097","00:12:05,640","The speaker is male, speaks English, and conveys an angry mood.","The image shows two women standing next to each other in a room. The woman on the left is wearing a black dress and the woman in the middle has blue hair. The room is decorated with a plant in a pot, a frame on the wall, a window with a curtain, and some clothes hung on a hanger."
941,Ill make you an assistant buyer in this department.,Joanna,neutral,neutral,94,9,4,9,"00:12:05,808","00:12:08,810","The speaker sounds female, happy, and in her twenties.","The image shows two women standing in a room, talking to each other. On the right side of the image there is a table with a photo frame and other objects on it, and in the background there are plants, curtains, and a wall."
942,Say more things like that.,Rachel,joy,positive,94,10,4,9,"00:12:10,229","00:12:12,731","The speaker sounds female, between the ages of 16-25, speaking in English with","The image shows two women standing next to each other in a room. The woman on the right is holding an object in her hand, while the other woman is wearing a suit. In the background, there are frames attached to the wall and various objects scattered around the room."
943,"You can have your own office, and a raise! Effective tomorrow.",Joanna,joy,positive,94,11,4,9,"00:12:13,524","00:12:16,526",The speaker sounds happy.,"The image shows two women standing next to each other in a room, both wearing black dresses. In the background, there is a plant, a frame attached to the wall, a window with blue curtains, and a few other objects."
944,Id need an expense account.,Rachel,neutral,neutral,94,12,4,9,"0:12:17,319","0:12:18,779",The speaker is female with an angry mood.,"The image shows two women standing next to each other in a room. The woman on the right is holding an object in her hand, while the other woman is looking at her. In the background, there is a wall with a photo frame and other objects."
945,Done!,Joanna,joy,positive,94,13,4,9,"0:12:18,779","0:12:19,983",The speaker is female with an angry mood.,"The image shows two women standing next to each other in a room. The woman on the right is holding an object in her hand, while the woman in the middle is wearing a suit. In the background, there is a wall with a photo frame and other objects."
946,And an assistant.,Rachel,neutral,neutral,94,14,4,9,"0:12:20,448","0:12:21,491","The speaker sounds female, between 26-40 years old, speaking English with a neutral","The image shows two women standing next to each other in a room. The woman on the right is wearing a brown blazer and white shirt, and is holding an object in her hand. In the background, there is a wall with a frame attached to it, and to the left of the image there are a few objects on the table."
947,"Sophie, get in here!",Joanna,joy,positive,94,15,4,9,"0:12:21,491","0:12:23,063",The speaker sounds like a female in her twenties speaking English.,"The image shows two women standing next to each other in a room. The woman on the left is wearing a black dress and is holding an object in her hand. In the background, there is a frame attached to the wall, a plant in a pot, a window with blue curtains, and a few other objects. Through the window, a building can be seen."
948,Monica? You gonna be very proud of me. I just got us dates with two unbelievably cute nurses.,Rachel,joy,positive,95,0,5,3,"00:04:00,782","00:04:04,409",Happy,"The image shows a woman in a purple dress sitting at a table with a man standing behind her, holding a mobile phone in his hand. On the table there is a flower vase and other objects, and in the background there are frames attached to the wall."
949,Oh my!,Joey,surprise,positive,95,1,5,3,"00:04:04,619","00:04:05,953","A male speaker, aged between 16-25 years old, speaking in English with a","The image shows a man and woman sitting on a couch, both of them smiling and holding cups in their hands. Behind them, there are a few other people sitting and standing, and in the background there is a wall."
950,They're male nurses.,Rachel,neutral,neutral,95,2,5,3,"00:04:07,372","00:04:09,206",The speaker is male.,"The image shows a woman standing in front of a desk with her arms crossed, while a man stands behind her holding a telephone. On the desk there is a flower vase, papers, and other objects, and in the background there are frames attached to the wall."
951,Not in my head.,Joey,neutral,neutral,95,3,5,3,"00:04:09,374","00:04:11,291",The speaker sounds surprised.,"The image shows a man and woman sitting on top of a couch, each holding a cup in their hands. In the background, there are a few other people sitting and standing, and a wall behind them."
952,"Anyway, they want to take us out Saturday night! What do you say?",Rachel,joy,positive,95,4,5,3,"00:04:12,001","00:04:15,671",The speaker sounds happy.,"The image shows a woman in a purple dress standing next to a man in a kitchen. On the table in front of them are various objects, and in the background there is a wall."
953,Umm.  Umm. Umm. I don't think so.,Monica,joy,positive,95,5,5,3,"0:04:21,386","0:04:22,304",Angry,"The image shows Courteney Cox and John Krasinski sitting on a couch, each holding a cup in their hands. On the left side of the image, there is a person standing on the floor, and in the background there are a few other people sitting on the sofa."
954,What?,Rachel,surprise,positive,95,6,5,3,"0:04:22,304","0:04:23,451",The speaker sounds surprised.,"The image shows Courteney Cox and Daniel Radcliffe sitting on a sofa, each holding a cup in their hands, with a few other people standing in the background and a wall behind them."
955,What are you talking about?!,Rachel,surprise,negative,95,7,5,3,"00:04:23,638","00:04:25,097",Angry,"The image shows a woman in a purple dress sitting at a table with a man standing behind her. On the table there are flowers, a telephone, and other objects. In the background there is a wall with a photo frame and a light."
956,You-you're the one who's been telling me to get over Ross and move on.,Rachel,anger,negative,95,8,5,3,"00:04:25,348","00:04:29,059",Angry,"The image shows a woman in a purple dress standing in front of a table with a flower vase, telephone, and other objects on it. Behind her, two men are standing, and in the background there is a wall with a frame attached to it."
